Year,Africa,Americas,Asia & Pacific,Europe,Middle East,
1950,500000,7500000,200000,16800000,200000,
1960,800000,16700000,900000,50400000,600000,
1965,1400000,23200000,2100000,83700000,2400000,s
1970,2400000,42300000,6200000,113000000,1900000,
1975,4700000,50000000,10200000,153900000,3500000,
1980,7200000,62300000,23000000,178500000,7100000,
1981,8100000,62500000,24900000,175500000,7600000,
1982,7600000,59700000,26000000,175300000,8300000,
1983,8200000,59900000,26600000,179600000,7500000,
1984,8900000,67400000,29500000,193400000,7700000,
1985,9700000,65100000,32900000,204300000,8100000,
1986,9400000,70900000,36800000,206200000,6900000,
1987,9900000,76600000,42100000,223900000,7200000,
1988,12600000,83000000,48700000,231600000,9100000,
1989,13900000,86900000,49400000,250700000,9200000,
1990,15200000,92800000,56200000,265600000,9600000,
1991,16300000,95300000,58000000,263900000,8900000,
1992,18300000,102200000,65800000,282200000,11300000,
1993,18900000,102200000,72300000,290800000,11400000,
1994,19300000,105100000,80100000,303100000,12100000,
1995,20400000,109000000,82400000,315000000,13700000,
1996,22200000,114500000,90400000,332100000,15800000,
1997,23200000,116200000,89700000,352900000,16700000,
1998,25600000,119100000,89400000,364600000,18000000,
1999,27000000,121900000,98700000,370500000,21500000,
2000,27900000,128200000,110600000,391000000,24400000,
2001,29100000,122100000,115700000,395200000,24500000,
2002,30000000,116700000,124900000,407000000,28500000,
2003,31600000,113100000,113300000,407100000,29500000,
2004,34500000,125700000,144200000,424400000,36300000,
2005,37300000,133500000,155400000,441500000,39000000,
2006,41400000,135800000,166800000,462100000,41400000,
2007,44300000,142500000,184200000,484900000,47400000,
2008,44400000,147800000,184100000,485200000,55200000,
2009,45900000,141700000,181100000,461700000,52800000,
2010,50400000,150100000,205500000,489400000,55400000,
2014,55200000,181900000,264400000,580200000,55400000,
2015,53800000,192700000,279300000,607500000,55900000,
2016,58200000,200900000,302900000,619700000,53600000,
2017,63000000,207000000,323000000,671000000,58000000,
2018,67000000,217000000,343000000,713000000,64000000,
